Job Class,Percentage,Links
Management,6.1,http://www.indeed.com/q-Management-jobs.html
Business and Financial operations,5,http://money.usnews.com/careers/best-jobs/rankings/best-business-jobs
Computer and Mathematical,2.7,http://www.careers.org/occupations/field/15/computer-and-mathematical
Architecture and Engineering,1.7,http://www.bls.gov/ooh/architecture-and-engineering/home.htm
"Life, Physical and Social Science",0.9,http://www.bls.gov/ooh/life-physical-and-social-science/home.htm
Community and Social Service,1.6,https://www.governmentjobs.com/jobs?keyword=Community%20and%20Social%20Services
Legal,0.8,http://lawjobs.com/
"Education, training and library",6.1,https://en.wikipedia.org/wiki/Category:Education_and_training_occupations
"Arts, design, entertainment, sports and media",1.7,http://www.careers.org/occupations/field/27/arts-design-entertainment-sports-and-media
Healthcare practioners and technical,5.5,https://datausa.io/profile/soc/290000/
Healthcare support,2.8,http://money.usnews.com/careers/best-jobs/rankings/best-health-care-support-jobs
Protective service,2.3,https://en.wikipedia.org/wiki/Category:Protective_service_occupations
Food preparation and serving,8.3,http://www.careers.org/occupations/field/35/food-preparation-and-serving-related%22
Building and grounds cleaning and maintenance,3.7,https://collegegrad.com/careers/building-and-grounds-cleaning
Personal care and service,4,http://www.monster.com/jobs/q-personal-care-service-jobs.aspx
Sales,10.2,http://www.salesjobs.com/
Office and administrative support,15.1,http://www.bls.gov/ooh/office-and-administrative-support/home.htm
"Farming, fishing and forestry",0.6,https://datausa.io/profile/soc/450000/
Construction and extraction,4.3,http://www.bls.gov/ooh/construction-and-extraction/home.htm
"Installation, maintenance and repair",3.8,http://www.careers.org/occupations/field/49/installation-maintenance-and-repair
Production,6.1,https://datausa.io/profile/soc/510000/
Transportation and material moving,6.5,http://www.careers.org/occupations/field/53/transportation-and-material-moving%22
Total,99.8,
